年份,縣市,鄉鎮市區,里別,商圈分類,是否為金三角商圈,是否為東大門周邊,有效營利事業累計家數,該年新設立營利事業家數,開立統一發票店家數,發票店家佔比(%),登記資本總額(元),平均資本額(元),代表行業類別,推估年度銷售額(千元)
2017,花蓮縣,花蓮市,市區其他未標示里,一般住宅/非核心商業區,否,否,112,2,9,8.04,34590290,308841,農產品（家畜及家禽肉品）批發市場承銷,218156.4
2017,花蓮縣,花蓮市,民主里,金三角與東大門核心交會區,是,是,386,30,19,4.92,146297000,379007,餐食攤販,544232.53
2017,花蓮縣,花蓮市,民享里,一般住宅/非核心商業區,否,否,91,10,59,64.84,216201000,2375835,民宿,1418079.32
2017,花蓮縣,花蓮市,民勤里,一般住宅/非核心商業區,否,否,101,7,50,49.5,217791001,2156346,麵店、小吃店,1241241.95
2017,花蓮縣,花蓮市,民孝里,一般住宅/非核心商業區,否,否,145,2,66,45.52,637369500,4395651,水產品零售,2038019.49
2017,花蓮縣,花蓮市,民德里,一般住宅/非核心商業區,否,否,58,3,35,60.34,192029000,3310844,麵店、小吃店,914065.6
2017,花蓮縣,花蓮市,民心里,一般住宅/非核心商業區,否,否,177,2,164,92.66,2546015200,14384266,石材家具及其製品製造,6163087.81
2017,花蓮縣,花蓮市,民意里,一般住宅/非核心商業區,否,否,58,4,33,56.9,326267000,5625293,麵店、小吃店,1027668.92
2017,花蓮縣,花蓮市,民政里,一般住宅/非核心商業區,否,否,100,5,52,52.0,280807848,2808078,不動產投資開發,1352909.89
2017,花蓮縣,花蓮市,民族里,金三角與東大門核心交會區,是,是,86,2,38,44.19,520629350,6053829,旅館,1348888.62
2017,花蓮縣,花蓮市,民有里,一般住宅/非核心商業區,否,否,10,0,3,30.0,1375000,137500,民宿,61121.36
2017,花蓮縣,花蓮市,民樂里,一般住宅/非核心商業區,否,否,13,1,7,53.85,32097000,2469000,冷凍、通風、空調系統裝修工程,175608.27
2017,花蓮縣,花蓮市,民權里,一般住宅/非核心商業區,否,否,14,0,8,57.14,27694000,1978142,其他殯葬及寵物生命紀念相關服務,190430.26
2017,花蓮縣,花蓮市,民治里,一般住宅/非核心商業區,否,否,2,0,0,0.0,70000,35000,畜肉零售,79.94
2017,花蓮縣,花蓮市,民生里,金三角與東大門核心交會區,是,是,227,11,85,37.44,368784000,1624599,服裝零售,2108443.15
2017,花蓮縣,花蓮市,民立里,一般住宅/非核心商業區,否,否,56,6,39,69.64,677210140,12093038,醫療耗材零售,1547559.16
2017,花蓮縣,花蓮市,民運里,一般住宅/非核心商業區,否,否,131,11,49,37.4,372983000,2847198,麵店、小吃店,1398625.75
2018,花蓮縣,花蓮市,主信里,一般住宅/非核心商業區,否,否,68,2,35,51.47,123660000,1818529,麵店、小吃店,827334.07
2018,花蓮縣,花蓮市,主力里,金三角商圈,是,否,207,15,122,58.94,431989000,2086903,美髮院及髮廊,2884955.91
2018,花蓮縣,花蓮市,主勤里,金三角商圈,是,否,92,1,43,46.74,83529000,907923,未分類其他服飾品零售,936458.65
2018,花蓮縣,花蓮市,主和里,一般住宅/非核心商業區,否,否,136,6,71,52.21,230094500,1691871,麵店、小吃店,1654031.74
2018,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,104,3,47,45.19,1115795000,10728798,服裝零售,2221585.16
